,County,Year,Month,Region,Beneficiaries, Benefit Amounts (Dollars) ,Average Benefits per Beneficiary,Inflation Rate,Adjusted Benefits Per Beneficiary,Adjusted Benefits Amounts,Population,Percent Population on Welfare
138,Cortland,2001,7,Central New York,600,420000,700.0,177.5,1016.66,609998.54,48903,1.23
139,Cortland,2001,8,Central New York,800,540000,675.0,177.5,980.35,784283.83,48903,1.64
140,Cortland,2001,9,Central New York,500,350000,700.0,178.3,1012.1,506051.32,48903,1.02
141,Cortland,2001,10,Central New York,600,550000,916.67,177.7,1329.85,797908.55,48903,1.23
142,Cortland,2001,11,Central New York,900,720000,800.0,177.4,1162.56,1046301.24,48903,1.84
143,Cortland,2001,12,Central New York,1500,1400000,933.33,176.7,1361.69,2042534.24,48903,3.07
144,Delaware,2001,1,Southern Tier,700,600000,857.14,175.1,1261.96,883370.65,47771,1.47
145,Delaware,2001,2,Southern Tier,600,550000,916.67,175.8,1344.22,806532.14,47771,1.26
146,Delaware,2001,3,Southern Tier,600,570000,950.0,176.2,1389.94,833963.05,47771,1.26
147,Delaware,2001,4,Southern Tier,600,490000,816.67,176.9,1190.13,714078.75,47771,1.26
148,Delaware,2001,5,Southern Tier,400,290000,725.0,177.7,1051.79,420715.42,47771,0.84
149,Delaware,2001,6,Southern Tier,300,230000,766.67,178.0,1110.36,333108.48,47771,0.63
150,Delaware,2001,7,Southern Tier,300,290000,966.67,177.5,1403.96,421189.46,47771,0.63
151,Delaware,2001,8,Southern Tier,300,240000,800.0,177.5,1161.9,348570.59,47771,0.63
152,Delaware,2001,9,Southern Tier,300,200000,666.67,178.3,963.91,289172.18,47771,0.63
153,Delaware,2001,10,Southern Tier,400,280000,700.0,177.7,1015.52,406207.99,47771,0.84
154,Delaware,2001,11,Southern Tier,500,320000,640.0,177.4,930.05,465022.77,47771,1.05
155,Delaware,2001,12,Southern Tier,600,480000,800.0,176.7,1167.16,700297.45,47771,1.26
